week,platform,content_type,topic,status,views_or_opens,notes
W1 Mar 3,YouTube,video,My honest review of Notion AI after 3 months,published,18400,best performer this month
W1 Mar 3,Instagram,carousel,5 Notion AI prompts for creatives,published,2100,repurposed from video
W1 Mar 5,Instagram,reel,my morning Notion setup (timelapse),published,4800,reels always do better than carousels
W1 Mar 7,Newsletter,weekly roundup,AI tools I tried this week + Notion video,sent,3890 opens,41% open rate
W2 Mar 10,YouTube,video,Home office upgrade on a budget (under £300),published,9200,lower than expected
W2 Mar 10,Instagram,carousel,room-by-room home office checklist,published,1400,
W2 Mar 12,Instagram,photo,new desk setup reveal,published,6200,photos outperform carousels lately
W2 Mar 14,Newsletter,weekly roundup,home office video + spring reset inspo,sent,3740 opens,
W3 Mar 17,YouTube,video,I tried every AI image generator so you dont have to,published,24100,viral week
W3 Mar 17,Instagram,reel,AI image generator comparison (60s),published,12800,rode the YouTube wave
W3 Mar 19,Instagram,carousel,prompts that actually work in DALL-E vs Midjourney,published,3200,
W3 Mar 21,Newsletter,weekly roundup,AI image video recap + free prompt guide,sent,4210 opens,highest this month — free resource helped
W4 Mar 24,YouTube,video,How I batch-film 4 videos in one day,published,11600,
W4 Mar 24,Instagram,reel,behind the scenes batch filming day,published,7400,
W4 Mar 26,Instagram,photo,filming setup flat lay,published,2900,
W4 Mar 28,Newsletter,weekly roundup,batch filming tips + April preview,sent,3650 opens,
