source,type,content,video,date,likes
YouTube comment,request,"Can you do a series where you try a new AI tool every week? Like a proper ongoing thing",Notion AI review,2026-03-03,47
YouTube comment,positive,"I love how honest you are — please never become one of those channels that only reviews stuff they're paid for",AI image generators,2026-03-18,89
YouTube comment,request,"Would love a behind the scenes of your actual creative process — like how a video goes from idea to upload",batch filming,2026-03-25,63
YouTube comment,request,"Can you do 'AI tool for [specific creative job]' like AI tools for graphic designers, photographers etc",AI image generators,2026-03-18,34
Newsletter reply,suggestion,"I'd pay for a course on your Notion setup but a free series would be amazing too","March newsletter",2026-03-22,n/a
YouTube comment,request,"The before/after format is so satisfying — more of that please like 'I redesigned my whole workflow using only AI'",Notion AI review,2026-03-05,28
YouTube comment,request,"What about a series testing if AI can do your whole job for a week? Like replace each part of your workflow",AI image generators,2026-03-19,71
YouTube comment,positive,"Your cosy aesthetic is genuinely what keeps me coming back — the content could be about anything",home office,2026-02-26,112
YouTube comment,request,"More 'real talk' videos — the one where you admitted the AI Q&A was unreliable was so refreshing",Notion AI review,2026-03-08,55
Instagram DM,request,"Please do a series on building a creative business as a solo person — budgets, rates, client stuff",n/a,2026-03-14,n/a
YouTube comment,request,"I want a series where you spend £50 on a different part of your setup each episode",home office,2026-02-28,43
Newsletter reply,positive,"The 'honest review' format is your superpower — lean into it more","February newsletter",2026-02-14,n/a
YouTube comment,request,"Can you do a day in the life but with timestamps showing exactly how long each task takes?",batch filming,2026-03-26,38
YouTube comment,request,"Series idea: recreating a viral creator's setup on a budget",home office,2026-03-01,29
